HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Number,TotalServices,Deck,Num,Side,HasServices
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0,1,01,0.0,B,0,P,False
Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,1,2,01,736.0,F,0,S,True
Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,0,3,01,10383.0,A,0,S,True
Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,0,3,02,5176.0,A,0,S,True
Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,1,4,01,1091.0,F,1,S,True
Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,1,5,01,774.0,F,0,P,True
Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,1,6,01,1584.0,F,2,S,True
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,6,02,0.0,G,0,S,False
Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,1,7,01,1018.0,F,3,S,True
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,1,8,01,0.0,B,1,P,False
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,1,8,02,0.0,B,1,P,False
Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,1,8,03,8157.0,B,1,P,True
Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,1,9,01,1309.0,F,1,P,True
Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,0,10,01,809.0,G,1,S,True
Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,1,11,01,1003.0,F,2,P,True
Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,0,12,01,908.0,F,2,S,True
Mars,False,55 Cancri e,27.0,False,1286.0,122.0,0.0,0.0,0.0,0,14,01,1408.0,F,3,P,True
Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,0,15,01,638.0,F,4,P,True
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,1,16,01,0.0,F,5,P,False
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,17,01,0.0,G,0,P,False
Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,0,17,02,1092.0,F,6,P,True
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0,20,01,0.0,E,0,S,False
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0,20,02,0.0,E,0,S,False
Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,0,20,03,0.0,E,0,S,False
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,1,20,04,0.0,E,0,S,False
Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,0,20,05,0.0,E,0,S,False
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,0,20,06,0.0,E,0,S,False
Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,0,22,01,1051.0,D,0,P,True
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,1,24,01,0.0,C,2,S,False
Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,0,25,01,1223.0,F,6,S,True
Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,0,26,01,7861.0,C,0,P,True
Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,0,28,01,1309.0,F,8,P,True
Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,0,30,01,1821.0,G,4,S,True
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,1,31,01,2854.0,F,9,P,True
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,31,02,0.0,F,9,P,False
Mars,False,TRAPPIST-1e,20.0,False,0.0,0.0,1750.0,990.0,0.0,1,31,03,2740.0,F,9,P,True
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,34,01,0.0,D,1,S,False
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,0,35,01,2699.0,D,1,P,True
Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,0,36,01,961.0,F,8,S,True
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,0,38,01,3355.0,F,10,S,True
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,0,39,01,0.0,G,1,P,False
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,1,41,01,0.0,G,2,P,False
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,0,43,01,3575.0,B,3,P,True
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,0,44,01,0.0,G,3,P,False
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,1,44,02,0.0,G,3,P,False
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,1,44,03,0.0,G,3,P,False
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,0,45,01,1214.0,F,10,P,True
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,45,02,0.0,F,10,P,False
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,0.0,0.0,0,50,01,790.0,E,1,S,True
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,0,51,01,1618.0,E,2,S,True
Earth,False,TRAPPIST-1e,28.82793046746535,False,4.0,0.0,2.0,4683.0,0.0,0,52,01,4689.0,G,6,S,True
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,1,53,01,1939.0,F,11,S,True
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,56,01,0.0,A,1,S,False
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,1,56,02,0.0,A,1,S,False
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,1,56,03,4547.0,A,1,S,True
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,0,58,01,0.0,G,7,S,False
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,0,61,01,2667.0,F,12,S,True
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,0,62,01,634.0,F,13,S,True
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,1,64,01,0.0,F,14,S,False
Earth,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,1,64,02,0.0,E,3,S,False
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,0,66,01,811.0,G,6,P,True
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,1,67,01,0.0,G,10,S,False
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,1,67,02,705.0,G,10,S,True
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,0,67,03,2007.0,F,15,S,True
Mars,False,TRAPPIST-1e,28.82793046746535,False,793.0,0.0,2.0,253.0,0.0,0,68,01,1048.0,E,4,S,True
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,1,69,01,902.0,F,16,S,True
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,0,70,01,922.0,F,13,P,True
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,0,71,01,2233.0,F,14,P,True
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,0,72,01,1064.0,F,17,S,True
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,0,73,01,879.0,D,3,P,True
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,1,74,01,8904.0,C,3,S,True
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,1,76,01,1165.0,F,18,S,True
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,1,77,01,1309.0,F,15,P,True
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,0,78,01,15815.0,C,4,S,True
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0,81,01,0.0,G,13,S,False
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,0,82,01,7406.0,F,16,P,True
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,82,02,0.0,F,16,P,False
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,1,82,03,0.0,F,16,P,False
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,1,84,01,705.0,G,14,S,True
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,1,85,01,0.0,C,5,S,False
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,0,86,01,1362.0,F,17,P,True
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,1,88,01,0.0,E,5,S,False
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,90,01,0.0,G,15,S,False
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,1,91,01,0.0,G,16,S,False
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,0,91,02,917.0,F,20,S,True
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,0,92,01,705.0,G,9,P,True
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,92,02,0.0,G,9,P,False
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,1,92,03,0.0,G,9,P,False
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,0,97,01,1848.0,A,2,S,True
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,0,98,01,893.0,G,11,P,True
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,1,98,02,3855.0,G,11,P,True
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,0,99,01,1301.0,F,19,P,True
